,Geographic name,Geographic area type abbreviation,"Population, 2021","Population, 2016","Land area in square kilometres, 2021"
232,New Richmond,V,"3,683","3,706",172.50
233,Paspébiac,V,"3,033","3,164",94.98
234,Saint-Siméon,PE,"1,207","1,171",56.71
235,Rivière-Bonaventure,NO,59,35,"3,054.37"
236,Caplan,MÉ,"1,966","2,024",85.69
237,Cascapédia--Saint-Jules,MÉ,764,730,164.29
238,Hope Town,MÉ,334,339,51.26
239,New Carlisle,MÉ,"1,336","1,388",67.99
240,Saint-Alphonse,MÉ,711,699,112.09
241,Saint-Elzéar,MÉ,464,458,204.16
242,Shigawake,MÉ,333,292,76.82
243,Hope,CT,584,568,70.55
244,Saint-Godefroi,CT,350,380,63.57
245,Brome-Missisquoi,MRC,"64,786","58,314","1,650.20"
246,Abercorn,VL,341,334,26.72
247,Brome,VL,341,296,11.56
248,Bedford,V,"2,558","2,560",4.23
249,Bromont,V,"11,357","9,041",114.05
250,Cowansville,V,"15,234","13,656",46.87
251,Dunham,V,"3,599","3,432",193.86
252,Farnham,V,"10,149","8,909",92.12
253,Lac-Brome,V,"5,923","5,495",206.90
254,Sutton,V,"4,548","4,012",245.69
255,Bolton-Ouest,MÉ,732,630,100.94
256,Brigham,MÉ,"2,282","2,306",86.92
257,East Farnham,MÉ,612,554,5.02
258,Frelighsburg,MÉ,"1,123","1,111",123.31
259,Notre-Dame-de-Stanbridge,MÉ,691,668,43.89
260,Pike River,MÉ,503,517,40.77
261,Saint-Armand,MÉ,"1,228","1,205",83.16
262,Saint-Ignace-de-Stanbridge,MÉ,677,676,69.42
263,Sainte-Sabine,MÉ,"1,105","1,085",55.33
264,Stanbridge East,MÉ,834,866,49.41
265,Stanbridge Station,MÉ,291,274,18.07
266,Bedford,CT,658,687,31.96
267,Bécancour,MRC,"20,748","20,404","1,143.13"
268,Bécancour,V,"13,561","13,031",439.54
269,Parisville,PE,396,530,35.58
270,Sainte-Cécile-de-Lévrard,PE,349,372,32.32
271,Sainte-Sophie-de-Lévrard,PE,704,729,84.05
272,Deschaillons-sur-Saint-Laurent,MÉ,906,909,36.51
273,Fortierville,MÉ,660,669,44.55
274,Lemieux,MÉ,292,301,74.60
275,Manseau,MÉ,807,816,104.48
276,Saint-Pierre-les-Becquets,MÉ,"1,183","1,137",48.14
277,Saint-Sylvère,MÉ,786,791,86.30
278,Sainte-Françoise,MÉ,467,449,87.02
279,Sainte-Marie-de-Blandford,MÉ,443,468,69.30
280,Wôlinak,IRI,194,202,0.74
281,Charlevoix,MRC,"13,371","12,997","3,736.80"
282,Baie-Saint-Paul,V,"7,371","7,146",545.85
283,Saint-Hilarion,PE,"1,146","1,127",100.30
284,Saint-Urbain,PE,"1,320","1,373",330.57
285,Lac-Pikauba 3,NO,0,0r,"2,440.54"
286,L'Isle-aux-Coudres,MÉ,"1,116","1,143",29.46
287,Les Éboulements,MÉ,"1,465","1,331",156.19
288,Petite-Rivière-Saint-François,MÉ,953,814,133.89
289,Charlevoix-Est,MRC,"15,409","15,509","2,288.97"
290,Clermont,V,"3,065","3,085",51.53
291,La Malbaie,V,"8,235","8,271",458.19
292,Saint-Irénée,PE,678,641,59.92
293,Mont-Élie,NO,51,63,851.18
294,Sagard,NO,110,130,204.59
295,Baie-Sainte-Catherine,MÉ,184,206,232.89
296,Notre-Dame-des-Monts,MÉ,789,791,57.93
297,Saint-Aimé-des-Lacs,MÉ,"1,158","1,095",91.61
298,Saint-Siméon,MÉ,"1,139","1,227",281.14
299,Coaticook,MRC,"18,906","18,497","1,338.86"
300,Coaticook 3,V,"8,867","8,955r",219.45
301,Waterville,V,"2,307","2,121",44.03
302,Barnston-Ouest 3,MÉ,546,559r,99.36
303,Compton,MÉ,"3,270","3,131",206.58
304,Dixville,MÉ,732,696,76.56
305,East Hereford,MÉ,282,269,72.10
306,Martinville,MÉ,441,436,47.66
307,Saint-Herménégilde,MÉ,690,670,166.15
308,Saint-Malo,MÉ,514,475,131.83
309,Saint-Venant-de-Paquette,MÉ,69,97,58.75
310,Stanstead-Est,MÉ,642,584,114.54
311,Sainte-Edwidge-de-Clifton,CT,546,504,101.84
312,D'Autray,MRC,"44,080","42,189","1,234.67"
313,Berthierville,V,"4,386","4,189",6.77
314,Lavaltrie,V,"14,425","13,657",68.22
315,Saint-Gabriel 5,V,"2,803","2,640r",2.81
316,Saint-Barthélemy,PE,"2,087","1,934",105.36
317,Saint-Didace,PE,688,652,99.60
318,Saint-Norbert,PE,"1,060","1,003",74.60
319,La Visitation-de-l'Île-Dupas,MÉ,684,626,28.15
320,Lanoraie,MÉ,"5,134","4,787",102.74
321,Mandeville,MÉ,"2,363","2,189",318.21
322,Saint-Cléophas-de-Brandon,MÉ,254,227,15.34
323,Saint-Cuthbert,MÉ,"1,821","1,862",131.72
324,Saint-Gabriel-de-Brandon 5,MÉ,"2,684","2,635r",99.23
325,Saint-Ignace-de-Loyola,MÉ,"2,048","2,049",31.90
326,Sainte-Geneviève-de-Berthier,MÉ,"2,253","2,280",67.03
327,Sainte-Élisabeth,MÉ,"1,390","1,459",83.00
328,Deux-Montagnes 2,MRC,"102,052","98,203",242.88
329,Deux-Montagnes,V,"17,915","17,496",6.08
330,Saint-Eustache,V,"45,276","44,008",70.51
331,Sainte-Marthe-sur-le-Lac,V,"19,797","18,074",8.73
