,Geographic name,Geographic area type abbreviation,"Population, 2021","Population, 2016","Land area in square kilometres, 2021"
1008,Saint-Just-de-Bretenières,MÉ,639,668,132.60
1009,Saint-Paul-de-Montminy,MÉ,849,785,162.77
1010,Sainte-Euphémie-sur-Rivière-du-Sud,MÉ,338,320,92.44
1011,Sainte-Lucie-de-Beauregard,MÉ,275,280,82.17
1012,Mékinac,MRC,"12,762","12,358","5,186.22"
1013,Grandes-Piles,VL,493,415,116.97
1014,Saint-Tite,V,"3,672","3,673",91.10
1015,Hérouxville,PE,"1,367","1,278",54.72
1016,Lac-aux-Sables,PE,"1,380","1,292",269.70
1017,Saint-Adelphe,PE,922,922,137.08
1018,Saint-Roch-de-Mékinac,PE,304,302,144.52
1019,Saint-Séverin,PE,812,846,61.65
1020,Lac-Boulé,NO,0,0,22.95
1021,Lac-Masketsi,NO,0,0,211.51
1022,Lac-Normand,NO,29,5,"2,016.35"
1023,Rivière-de-la-Savane,NO,41,0,"1,087.02"
1024,Notre-Dame-de-Montauban,MÉ,815,745,162.40
1025,Sainte-Thècle,MÉ,"2,415","2,484",212.48
1026,Trois-Rives,MÉ,512,396,597.76
1027,Nicolet-Yamaska,MRC,"23,848","23,159","1,004.98"
1028,Saint-Célestin,VL,892,831,1.41
1029,Nicolet,V,"8,620","8,169",96.11
1030,Saint-Elphège,PE,251,270,40.53
1031,Saint-Zéphirin-de-Courval,PE,707,700,71.94
1032,Sainte-Perpétue,PE,916,959,71.51
1033,Aston-Jonction,MÉ,441,424,26.20
1034,Baie-du-Febvre,MÉ,961,988,96.78
1035,Grand-Saint-Esprit,MÉ,488,476,27.22
1036,La Visitation-de-Yamaska,MÉ,295,327,42.65
1037,Pierreville 5,MÉ,"2,104","2,143r",77.71
1038,Saint-Célestin,MÉ,594,575,76.99
1039,Saint-François-du-Lac,MÉ,"1,898","1,965",63.80
1040,Saint-Léonard-d'Aston,MÉ,"2,530","2,331",82.55
1041,Saint-Wenceslas,MÉ,"1,167","1,157",79.57
1042,Sainte-Eulalie,MÉ,984,894,86.30
1043,Sainte-Monique,MÉ,519,501,58.10
1044,Odanak 5,IRI,481,449r,5.61
1045,Papineau,MRC,"24,308","22,832","2,903.45"
1046,Thurso,V,"3,084","2,818",6.65
1047,Boileau,MÉ,405,335,134.08
1048,Bowman,MÉ,667,658,126.40
1049,Chénéville,MÉ,848,764,65.83
1050,Duhamel,MÉ,569,430,427.32
1051,Fassett,MÉ,453,431,12.52
1052,Lac-Simon,MÉ,"1,057",944,95.65
1053,Lac-des-Plages,MÉ,548,431,150.95
1054,Mayo,MÉ,704,601,72.51
1055,Montebello,MÉ,934,983,8.60
1056,Montpellier,MÉ,"1,112",985,246.12
1057,Mulgrave-et-Derry,MÉ,461,369,289.52
1058,Namur,MÉ,633,572,56.17
1059,Notre-Dame-de-Bonsecours,MÉ,285,301,258.36
1060,Notre-Dame-de-la-Paix,MÉ,675,648,105.96
1061,Papineauville,MÉ,"2,153","2,101",61.13
1062,Plaisance,MÉ,"1,129","1,088",36.21
1063,Ripon,MÉ,"1,735","1,542",129.93
1064,Saint-André-Avellin,MÉ,"3,562","3,749",137.34
1065,Saint-Sixte,MÉ,490,469,84.34
1066,Saint-Émile-de-Suffolk,MÉ,512,477,55.68
1067,Val-des-Bois,MÉ,920,865,222.67
1068,Lochaber,CT,446,415,62.14
1069,Lochaber-Partie-Ouest,CT,926,856,57.39
1070,Pierre-De Saurel,MRC,"51,843","51,025",595.13
1071,Massueville,VL,547,529,1.55
1072,Saint-Joseph-de-Sorel,V,"1,581","1,642",1.36
1073,Saint-Ours,V,"1,723","1,669",59.23
1074,Sorel-Tracy,V,"35,165","34,755",57.28
1075,Saint-Gérard-Majella,PE,240,242,38.32
1076,Saint-Aimé,MÉ,405,461,60.53
1077,Saint-David,MÉ,872,817,92.97
1078,Saint-Robert,MÉ,"1,813","1,803",64.97
1079,Saint-Roch-de-Richelieu,MÉ,"2,573","2,188",34.44
1080,Sainte-Anne-de-Sorel,MÉ,"2,731","2,771",36.41
1081,Sainte-Victoire-de-Sorel,MÉ,"2,457","2,461",75.26
1082,Yamaska,MÉ,"1,736","1,687",72.82
1083,Pontiac,MRC,"14,764","14,251","12,824.36"
1084,Fort-Coulonge,VL,"1,312","1,433",2.96
1085,Portage-du-Fort,VL,232,234,4.22
1086,Lac-Nilgaut,NO,5,5,"8,966.53"
1087,Alleyn-et-Cawood,MÉ,229,172,308.91
1088,Bristol,MÉ,"1,199","1,036",206.19
1089,Bryson,MÉ,646,697,3.58
1090,Campbell's Bay,MÉ,705,744,3.42
1091,Clarendon,MÉ,"1,392","1,256",330.46
1092,L'Isle-aux-Allumettes,MÉ,"1,382","1,334",185.94
1093,L'Île-du-Grand-Calumet,MÉ,648,626,130.55
1094,Litchfield,MÉ,500,459,198.57
1095,Mansfield-et-Pontefract,MÉ,"2,250","2,285",466.61
1096,Otter Lake,MÉ,"1,041",932,454.70
1097,Rapides-des-Joachims,MÉ,141,156,238.90
1098,Shawville,MÉ,"1,668","1,587",5.38
1099,Sheenboro 3,MÉ,149,130r,565.43
1100,Thorne,MÉ,528,448,173.09
1101,Waltham,MÉ,387,378,360.19
1102,Chichester 3,CT,350,348r,218.74
1103,Portneuf,MRC,"55,523","53,008","3,887.88"
1104,Cap-Santé 5,V,"3,594","3,410r",54.49
1105,Donnacona,V,"7,436","7,200",20.20
1106,Lac-Sergent,V,541,497,3.72
1107,Neuville,V,"4,475","4,392",71.92
1108,Pont-Rouge,V,"10,121","9,240",121.12
1109,Portneuf,V,"3,329","3,187",109.10
1110,Saint-Basile 5,V,"2,709","2,621r",98.84
1111,Saint-Marc-des-Carrières,V,"2,901","2,911",17.29
1112,Saint-Raymond 3,V,"11,108","10,358r",666.20
1113,Saint-Gilbert,PE,283,296,37.44
1114,Saint-Thuribe,PE,298,286,51.00
1115,Lac-Blanc 3,NO,0,0r,549.55
1116,Lac-Lapeyrère,NO,0,0,376.66
1117,Linton,NO,10,0,429.62
1118,Deschambault-Grondines,MÉ,"2,235","2,220",124.02
1119,Rivière-à-Pierre,MÉ,625,584,515.62
1120,Saint-Alban,MÉ,"1,196","1,198",148.47
1121,Saint-Casimir,MÉ,"1,449","1,430",66.50
1122,Saint-Léonard-de-Portneuf 3,MÉ,"1,140","1,113r",141.80
1123,Saint-Ubalde,MÉ,"1,456","1,412",140.72
1124,Sainte-Christine-d'Auvergne 3,MÉ,617,551r,143.60
1125,Rimouski-Neigette,MRC,"57,191","56,650","2,703.99"
1126,Rimouski 4,V,"48,935","48,664r",339.13
1127,La Trinité-des-Monts,PE,233,223,233.07
1128,Saint-Anaclet-de-Lessard,PE,"3,019","3,071",126.37
1129,Saint-Eugène-de-Ladrière 3,PE,413,378r,331.36
1130,Saint-Fabien,PE,"1,834","1,837",119.92
1131,Saint-Marcellin,PE,397,353,117.19
1132,Saint-Narcisse-de-Rimouski,PE,"1,084",961,162.40
1133,Saint-Valérien 7,PE,906,"835E,r",145.02
1134,Lac-Huron 3,NO,30,10r,960.57
1135,Esprit-Saint,MÉ,340,341,168.96
1136,Rivière-du-Loup,MRC,"35,338","33,958","1,276.86"
1137,Rivière-du-Loup,V,"20,118","19,507",83.74
1138,Notre-Dame-des-Sept-Douleurs,PE,71,36,11.53
1139,Saint-Arsène,PE,"1,245","1,230",70.81
1140,Saint-Paul-de-la-Croix,PE,313,309,78.42
1141,Cacouna,MÉ,"1,848","1,803",62.75
1142,L'Isle-Verte,MÉ,"1,356","1,294",119.15
1143,Notre-Dame-du-Portage,MÉ,"1,296","1,151",40.06
1144,Saint-Antonin,MÉ,"4,338","4,049",175.93
1145,Saint-Cyprien,MÉ,"1,078","1,066",138.43
1146,Saint-François-Xavier-de-Viger,MÉ,247,245,111.27
1147,Saint-Hubert-de-Rivière-du-Loup,MÉ,"1,412","1,279",192.20
1148,Saint-Modeste,MÉ,"1,180","1,162",109.72
1149,Saint-Épiphane,MÉ,836,827,82.85
1150,Robert-Cliche,MRC,"19,253","19,125",839.60
1151,Tring-Jonction 5,VL,"1,526","1,448r",27.32
1152,Beauceville 5,V,"6,185","6,291r",164.59
1153,Saint-Joseph-de-Beauce 5,V,"5,014","4,858r",114.70
1154,Saint-Frédéric 5,PE,"1,065",997r,72.35
1155,Saint-Jules,PE,547,539,55.73
1156,Saint-Odilon-de-Cranbourne,PE,"1,407","1,374",130.61
1157,Saint-Séverin,PE,300,278,58.92
1158,Saint-Alfred 5,MÉ,519,482r,43.49
1159,Saint-Joseph-des-Érables,MÉ,377,410,51.43
1160,Saint-Victor,MÉ,"2,313","2,448",120.45
1161,Roussillon 2,MRC,"185,568","171,443",420.44
1162,Candiac,V,"22,997","21,047",17.27
1163,Châteauguay,V,"50,815","47,906",34.31
1164,Delson,V,"8,328","7,457",7.64
1165,La Prairie,V,"26,406","24,110",43.47
1166,Léry,V,"2,390","2,318",10.36
1167,Mercier,V,"14,626","13,115",45.96
1168,Saint-Constant,V,"29,954","27,359",57.06
1169,Saint-Philippe,V,"7,597","6,320",61.96
1170,Sainte-Catherine,V,"17,347","17,047",9.37
1171,Saint-Isidore,PE,"2,769","2,608",52.29
1172,Saint-Mathieu,MÉ,"2,339","2,156",31.41
1173,Kahnawake 6,IRI,..,..,49.34
1174,Rouville,MRC,"37,889","36,536",482.80
1175,Marieville,V,"11,332","10,725",63.23
1176,Richelieu,V,"5,742","5,236",30.96
1177,Saint-Césaire,V,"5,972","5,877",83.06
1178,Ange-Gardien,MÉ,"2,889","2,699",90.21
1179,Rougemont,MÉ,"2,696","2,755",43.91
1180,Saint-Mathias-sur-Richelieu,MÉ,"4,544","4,531",47.02
1181,Saint-Paul-d'Abbotsford,MÉ,"2,886","2,890",79.60
1182,Sainte-Angèle-de-Monnoir,MÉ,"1,828","1,823",44.80
1183,Thérèse-De Blainville,MRC,"163,632","157,103",206.52
1184,Blainville,V,"59,819","56,863",54.97
1185,Bois-des-Filion,V,"10,159","9,636",4.36
1186,Boisbriand,V,"28,308","26,884",27.67
1187,Lorraine,V,"9,502","9,352",5.90
1188,Rosemère,V,"14,090","13,958",10.68
1189,Sainte-Anne-des-Plaines,V,"15,221","14,421",93.44
1190,Sainte-Thérèse,V,"26,533","25,989",9.48
1191,Témiscamingue,MRC,"16,132","15,980","16,327.26"
1192,Belleterre,V,285,313,544.49
1193,Témiscaming,V,"2,368","2,431",710.84
1194,Ville-Marie,V,"2,464","2,584",5.83
1195,Hunter's Point,S-É,5,10,1.30
1196,Winneway,S-É,176,104,0.33
1197,Saint-Édouard-de-Fabre,PE,671,628,190.29
1198,Laniel,NO,89,82,408.20
1199,Les Lacs-du-Témiscamingue,NO,10,15,"10,366.89"
1200,Béarn 3,MÉ,708,720r,496.28
1201,Duhamel-Ouest,MÉ,945,878,91.49
1202,Fugèreville,MÉ,326,326,157.12
1203,Kipawa 5,MÉ,446,499r,35.58
1204,Laforce,MÉ,320,231,436.78
1205,Laverlochère-Angliers 5,MÉ,947,978r,400.83
1206,Lorrainville,MÉ,"1,286","1,272",87.91
1207,Moffet,MÉ,206,187,340.31
1208,Notre-Dame-du-Nord,MÉ,"1,090","1,052",74.34
1209,Rémigny,MÉ,287,280,894.05
1210,Saint-Bruno-de-Guigues,MÉ,"1,185","1,154",125.77
1211,Saint-Eugène-de-Guigues,MÉ,458,465,109.52
1212,Kebaowek 5,IRI,326,291r,0.57
1213,Timiskaming,IRI,541,539,18.39
1214,Latulipe-et-Gaboury,CU,320,295,270.11
1215,Guérin,CT,333,320,188.52
1216,Nédélec,CT,340,356,371.49
1217,Témiscouata,MRC,"19,492","19,574","3,900.42"
1218,Dégelis,V,"2,884","2,863",556.78
1219,Pohénégamook,V,"2,481","2,582",339.99
1220,Témiscouata-sur-le-Lac,V,"5,054","4,910",218.81
1221,Packington,PE,578,603,118.75
1222,Saint-Eusèbe,PE,587,593,129.56
1223,Saint-Louis-du-Ha! Ha!,PE,"1,311","1,292",112.23
1224,Saint-Marc-du-Lac-Long,PE,365,397,148.64
1225,Auclair,MÉ,447,448,105.78
1226,Biencourt,MÉ,433,464,187.12
1227,Lac-des-Aigles,MÉ,495,512,86.63
1228,Lejeune,MÉ,246,262,270.13
1229,Rivière-Bleue,MÉ,"1,261","1,230",173.42
1230,Saint-Athanase,MÉ,303,317,292.63
1231,Saint-Elzéar-de-Témiscouata,MÉ,311,321,151.14
1232,Saint-Honoré-de-Témiscouata,MÉ,763,741,262.97
1233,Saint-Jean-de-la-Lande 3,MÉ,232,248r,107.03
1234,Saint-Juste-du-Lac,MÉ,543,561,166.94
1235,Saint-Michel-du-Squatec,MÉ,"1,076","1,113",361.23
1236,Saint-Pierre-de-Lamy,MÉ,122,117,110.63
1237,Vaudreuil-Soulanges,MRC,"162,600","149,349",854.19
1238,Pointe-Fortune,VL,582,580,8.09
1239,Pointe-des-Cascades,VL,"1,775","1,481",2.74
1240,Vaudreuil-sur-le-Lac,VL,"1,361","1,341",1.38
1241,Coteau-du-Lac,V,"7,473","7,044",46.87
1242,Hudson 4,V,"5,411","5,157r",21.79
1243,L'Île-Cadieux,V,120,126,0.59
1244,L'Île-Perrot,V,"11,638","10,756",5.46
1245,Notre-Dame-de-l'Île-Perrot,V,"11,427","10,654",28.06
1246,Pincourt,V,"14,751","14,558",7.10
1247,Rigaud,V,"7,854","7,777",99.20
1248,Saint-Lazare 4,V,"22,354","19,917r",66.86
1249,Vaudreuil-Dorion,V,"43,268","38,117",72.65
1250,Les Coteaux,MÉ,"5,643","5,368",11.64
1251,Les Cèdres,MÉ,"7,184","6,777",77.63
1252,Rivière-Beaudette,MÉ,"2,489","2,097",18.48
1253,Saint-Clet,MÉ,"1,700","1,779",39.32
1254,Saint-Polycarpe,MÉ,"2,372","2,224",69.88
1255,Saint-Télesphore,MÉ,754,759,60.10
1256,Saint-Zotique,MÉ,"9,618","7,934",25.04
1257,Sainte-Justine-de-Newton,MÉ,947,922,84.59
1258,Sainte-Marthe,MÉ,"1,014","1,097",79.60
1259,Terrasse-Vaudreuil,MÉ,"1,887","1,986",1.06
1260,Très-Saint-Rédempteur,MÉ,978,898,26.06
1261,Francheville,CDR,"158,343","153,030","1,160.67"
1262,Trois-Rivières,V,"139,163","134,413",288.65
1263,Notre-Dame-du-Mont-Carmel,PE,"6,121","5,751",128.29
1264,Saint-Maurice,PE,"3,432","3,286",91.36
1265,Saint-Narcisse,PE,"1,801","1,832",106.74
1266,Sainte-Geneviève-de-Batiscan,PE,"1,028","1,006",97.65
1267,Batiscan,MÉ,958,903,43.25
1268,Champlain,MÉ,"1,807","1,735",58.17
1269,Saint-Luc-de-Vincennes,MÉ,519,545,53.78
1270,Saint-Prosper-de-Champlain,MÉ,482,530,94.11
1271,Saint-Stanislas,MÉ,"1,001","1,010",89.38
1272,Sainte-Anne-de-la-Pérade,MÉ,"2,031","2,019",109.28
1273,Le Saguenay-et-son-Fjord,CDR,"167,833","167,549","39,797.25"
1274,Saguenay,V,"144,723","145,949","1,124.63"
1275,Saint-Honoré,V,"6,376","5,757",189.38
1276,Sainte-Rose-du-Nord,PE,434,439,116.61
1277,Lac-Ministuk,NO,58,0,"1,478.79"
1278,Lalemant,NO,0,0,190.57
1279,Mont-Valin,NO,10,0,"33,540.39"
1280,Bégin,MÉ,851,818,189.67
1281,Ferland-et-Boilleau,MÉ,632,540,383.09
1282,L'Anse-Saint-Jean,MÉ,"1,301","1,201",501.79
1283,Larouche,MÉ,"1,601","1,486",84.71
1284,Petit-Saguenay,MÉ,600,634,329.63
1285,Rivière-Éternité,MÉ,414,413,473.17
1286,Saint-Ambroise,MÉ,"3,883","3,781",149.37
1287,Saint-Charles-de-Bourget,MÉ,784,736,62.13
1288,Saint-David-de-Falardeau,MÉ,"2,996","2,768",398.25
1289,Saint-Fulgence,MÉ,"2,061","2,071",351.91
1290,Saint-Félix-d'Otis,MÉ,"1,109",956,233.16
1291,Minganie--Le Golfe-du-Saint-Laurent 2,CDR,"9,849","11,323","94,027.07"
1292,Pakuashipi 6,S-É,..,237,3.87
1293,Lac-Jérôme,NO,0,0,"40,019.70"
1294,Petit-Mécatina,NO,0,0,"35,347.19"
1295,Aguanish,MÉ,224,245,532.04
1296,Baie-Johan-Beetz,MÉ,84,86,327.46
1297,Blanc-Sablon,MÉ,"1,122","1,112",234.98
1298,Bonne-Espérance,MÉ,692,681,622.99
1299,Côte-Nord-du-Golfe-du-Saint-Laurent,MÉ,787,856,"2,597.05"
1300,Gros-Mécatina 3,MÉ,356,451r,742.15
1301,Havre-Saint-Pierre,MÉ,"3,337","3,460","2,570.09"
1302,L'Île-d'Anticosti,MÉ,177,218,"7,715.99"
1303,Longue-Pointe-de-Mingan,MÉ,408,434,370.03
1304,Natashquan,MÉ,262,263,667.91
1305,Rivière-Saint-Jean,MÉ,227,215,513.36
1306,Rivière-au-Tonnerre,MÉ,281,279,605.14
1307,Saint-Augustin,MÉ,425,445,"1,137.68"
1308,Mingan,IRI,552,552,17.24
1309,Nutashkuan,IRI,915,835,1.35
1310,Romaine 2 6,IRI,..,977,0.84
1311,Nord-du-Québec,CDR,"45,740","44,561","707,306.52"
1312,Akulivik,VN,642,633,75.02
1313,Aupaluk,VN,233,209,28.68
1314,Inukjuak,VN,"1,821","1,757",54.92
1315,Ivujivik,VN,412,414,35.15
1316,Kangiqsualujjuaq,VN,956,942,34.33
1317,Kangiqsujuaq,VN,837,750,12.41
1318,Kangirsuk,VN,561,567,57.15
1319,Kuujjuaq,VN,"2,668","2,754",289.97
1320,Kuujjuarapik 5,VN,792,654r,7.45
1321,Puvirnituq,VN,"2,129","1,779",81.61
1322,Quaqtaq,VN,453,403,25.82
1323,Salluit,VN,"1,580","1,483",15.08
1324,Tasiujaq,VN,420,369,65.53
1325,Umiujaq,VN,541,442,28.38
1326,Kawawachikamach,VK,0,0,234.80
1327,Chisasibi,VC,0,0,480.29
1328,Eastmain,VC,0,0,317.72
1329,Mistissini,VC,10,0,488.03
1330,Nemaska,VC,0,0,47.89
1331,Waskaganish,VC,0,0,274.22
1332,Waswanipi,VC,0,0,213.35
1333,Wemindji,VC,0,0,169.12
1334,Whapmagoostui,VC,0,0,120.86
1335,Chapais,V,"1,468","1,499",62.31
1336,Chibougamau,V,"7,233","7,504",694.87
1337,Lebel-sur-Quévillon,V,"2,091","2,187",44.41
1338,Matagami,V,"1,402","1,453",75.12
1339,Akulivik,TI,0,0,433.92
1340,Aupaluk,TI,0,0,525.88
1341,Inukjuak,TI,0,0,420.69
1342,Ivujivik,TI,0,0,438.05
1343,Kangiqsualujjuaq,TI,0,0,530.48
1344,Kangiqsujuaq,TI,0,0,561.33
1345,Kangirsuk,TI,0,0,512.43
1346,Kuujjuaq,TI,0,0,315.46
1347,Kuujjuarapik,TI,0,0,289.92
1348,Quaqtaq,TI,0,0,503.65
1349,Salluit,TI,0,0,591.68
1350,Tasiujaq,TI,0,0,492.69
1351,Umiujaq,TI,0,0,253.95
1352,Chisasibi,TC,"4,985","4,872",825.11
1353,Eastmain,TC,924,866,148.99
1354,Mistissini,TC,"3,731","3,523",807.75
1355,Nemaska,TC,832,760,98.42
1356,Oujé-Bougoumou 5,TC,797,747r,96.22
1357,Waskaganish,TC,"2,536","2,196",496.99
1358,Waswanipi,TC,459,"1,759",385.83
1359,Wemindji,TC,"1,562","1,444",387.37
1360,Whapmagoostui 5,TC,"1,022","1,016r",190.83
1361,Baie-d'Hudson,NO,5,0,"120,831.34"
1362,Rivière-Koksoak,NO,0,0,"290,009.61"
1363,Eeyou Istchee Baie-James 5,GR,"2,638","1,579r","283,123.42"
1364,Sept-Rivières--Caniapiscau,CDR,"38,240","39,322","94,464.35"
1365,Fermont,V,"2,256","2,474",451.12
1366,Port-Cartier,V,"6,516","6,799","1,092.75"
1367,Schefferville 5,V,244,130r,24.76
1368,Sept-Îles,V,"24,569","25,400","1,742.88"
1369,Kawawachikamach,TK,641,601,32.51
1370,Caniapiscau,NO,0,0,"30,108.23"
1371,Lac-Juillet,NO,0,0,"2,865.50"
1372,Lac-Vacher,NO,44,0,454.03
1373,Lac-Walker,NO,113,108,"17,162.43"
1374,Rivière-Mouchalagane,NO,15,5,"30,999.10"
1375,Rivière-Nipissis,NO,0,0,"9,522.28"
1376,Lac-John,IRI,21,33,0.50
1377,Maliotenam,IRI,"1,610","1,542",5.20
1378,Matimekosh 5,IRI,661,638r,0.69
1379,Uashat 27,IRI,"1,550","1,592",2.36
